Term,Category,Offensiveness,Source
doxing,Doxing,moderately offensive,category name
slanderer,Doxing,very offensive,hurtlex
defamer,Doxing,very offensive,hurtlex
persecutor,Doxing,very offensive,hurtlex
derogatory,Doxing,very offensive,hurtlex
nip,Identity Attack,extremely offensive,weaponized word
pakiland,Identity Attack,extremely offensive,weaponized word
mudslime,Identity Attack,extremely offensive,weaponized word
faggy,Identity Attack,extremely offensive,weaponized word
pisslam,Identity Attack,extremely offensive,weaponized word
spicspeak,Identity Attack,extremely offensive,weaponized word
munt,Identity Attack,extremely offensive,weaponized word
shiner,Identity Attack,extremely offensive,weaponized word
bong,Identity Attack,extremely offensive,weaponized word
sambo,Identity Attack,extremely offensive,weaponized word
niggerdick,Identity Attack,extremely offensive,weaponized word
jiggaboo,Identity Attack,extremely offensive,weaponized word
zippohead,Identity Attack,extremely offensive,weaponized word
nigger,Identity Attack,extremely offensive,weaponized word
beaner baby,Identity Attack,extremely offensive,weaponized word
dune coon,Identity Attack,extremely offensive,weaponized word
canigglet,Identity Attack,extremely offensive,weaponized word
identity misrepresentation,Identity Misrepresentation,moderately offensive,category name
deceiver,Identity Misrepresentation,very offensive,hurtlex
liar,Identity Misrepresentation,very offensive,hurtlex
forgery,Identity Misrepresentation,very offensive,hurtlex
halalability,Identity Misrepresentation,extremely offensive,weaponized word
homintern,Identity Misrepresentation,extremely offensive,weaponized word
tarded,Insult,extremely offensive,weaponized word
scuffer,Insult,extremely offensive,weaponized word
dole bludger,Insult,extremely offensive,weaponized word
fat-ass,Insult,significantly offensive,hurtlex
niggerfag,Insult,extremely offensive,weaponized word
wankers,Insult,very offensive,hurtlex
conchuda,Insult,extremely offensive,weaponized word
sonuvabitch,Insult,very offensive,hurtlex
cunt,Insult,very offensive,hurtlex
bitch,Insult,very offensive,hurtlex
slutpuppy,Insult,very offensive,hurtlex
motherfucker,Insult,moderately offensive,weaponized word
compulsive sexualities,Sexual Aggression,significantly offensive,hurtlex
assrape,Sexual Aggression,significantly offensive,hurtlex
ravisher,Sexual Aggression,significantly offensive,hurtlex
rapist,Sexual Aggression,significantly offensive,weaponized word
gangrape,Sexual Aggression,extremely offensive,weaponized word
forced sex,Sexual Aggression,very offensive,hurtlex
coersive sex,Sexual Aggression,very offensive,hurtlex
nonconsensual sex,Sexual Aggression,very offensive,hurtlex
pogrom,Threat of Violence,extremely offensive,weaponized word
massacre,Threat of Violence,extremely offensive,weaponized word
mass atrocity,Threat of Violence,extremely offensive,weaponized word
genocide,Threat of Violence,extremely offensive,weaponized word
holocaust,Threat of Violence,extremely offensive,weaponized word
noose,Threat of Violence,significantly offensive,weaponized word
lynch,Threat of Violence,very offensive,weaponized word
eating disorder promotion,Eating Disorder Promotion,moderately offensive,category name
glutton,Eating Disorder Promotion,very offensive,hurtlex
gorger,Eating Disorder Promotion,very offensive,hurtlex
crapulous,Eating Disorder Promotion,moderately offensive,hurtlex
edacity,Eating Disorder Promotion,moderately offensive,hurtlex
self-harm,Self-Harm,moderately offensive,category name
cut-up,Self-Harm,very offensive,hurtlex
tearing,Self-Harm,very offensive,hurtlex
misinformation,Misinformation,moderately offensive,category name
calumny,Misinformation,very offensive,hurtlex
deception,Misinformation,very offensive,hurtlex
falsehood,Misinformation,very offensive,hurtlex
burning cross,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
hammerskin,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
white power,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
build the wall,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
boojahideen,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
wolfsangel,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
white genocide,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
Turner Diaries,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
act of terror,"Extremism, Terrorism & Organized Crime",significantly offensive,hurtlex
whore,Adult Sexual Services,significantly offensive,hurtlex
man-whore,Adult Sexual Services,significantly offensive,hurtlex
hooker,Adult Sexual Services,significantly offensive,hurtlex
streetwalker,Adult Sexual Services,significantly offensive,hurtlex
whoremongers,Adult Sexual Services,significantly offensive,hurtlex
sluttery,Adult Sexual Services,significantly offensive,hurtlex
rent boy,Adult Sexual Services,significantly offensive,hurtlex
cumbag,Adult Sexual Services,significantly offensive,hurtlex
gigalo,Adult Sexual Services,significantly offensive,hurtlex
prostitute,Adult Sexual Services,significantly offensive,hurtlex
kerb crawling,Adult Sexual Services,significantly offensive,hurtlex
pimpet,Adult Sexual Services,significantly offensive,hurtlex
child sexual abuse materials,Child Sexual Abuse Materials,moderately offensive,category name
child molester,Child Sexual Abuse Materials,significantly offensive,hurtlex
pederast,Child Sexual Abuse Materials,significantly offensive,hurtlex
pedophile,Child Sexual Abuse Materials,significantly offensive,weaponized word
scams,Scams,moderately offensive,category name
fraud,Scams,very offensive,hurtlex
swindle,Scams,very offensive,hurtlex
scammer,Scams,very offensive,hurtlex
misleading,Scams,very offensive,hurtlex
beguiling,Scams,very offensive,hurtlex
deceiving,Scams,very offensive,hurtlex
cheat,Scams,very offensive,hurtlex
