Term,Category,Offensiveness,Source
nip,Identity Attack,extremely offensive,weaponized word
pakiland,Identity Attack,extremely offensive,weaponized word
mudslime,Identity Attack,extremely offensive,weaponized word
faggy,Identity Attack,extremely offensive,weaponized word
pisslam,Identity Attack,extremely offensive,weaponized word
spicspeak,Identity Attack,extremely offensive,weaponized word
munt,Identity Attack,extremely offensive,weaponized word
shiner,Identity Attack,extremely offensive,weaponized word
bong,Identity Attack,extremely offensive,weaponized word
sambo,Identity Attack,extremely offensive,weaponized word
niggerdick,Identity Attack,extremely offensive,weaponized word
jiggaboo,Identity Attack,extremely offensive,weaponized word
zippohead,Identity Attack,extremely offensive,weaponized word
nigger,Identity Attack,extremely offensive,weaponized word
beaner baby,Identity Attack,extremely offensive,weaponized word
dune coon,Identity Attack,extremely offensive,weaponized word
canigglet,Identity Attack,extremely offensive,weaponized word
scum,Identity Attack,Significantly offensive,weaponized word
scumbag,Identity Attack,Significantly offensive,weaponized word
gender niggers,Identity Attack,Extremely offensive,weaponized word
pig,Identity Attack,Significantly offensive,weaponized word
dune nigger,Identity Attack,Extremely offensive,weaponized word
garbage,Identity Attack,Significantly offensive,weaponized word
alkie,Identity Attack,Significantly offensive,weaponized word
timber nigger,Identity Attack,Extremely offensive,weaponized word
wiggers,Identity Attack,Extremely offensive,weaponized word
taco niggers,Identity Attack,Extremely offensive,weaponized word
spice nigger,Identity Attack,Extremely offensive,weaponized word
Anudda Shoah,Identity Attack,Extremely offensive,weaponized word
fagshit,Identity Attack,Extremely offensive,weaponized word
ghetto monkey,Identity Attack,Extremely offensive,weaponized word
towel head,Identity Attack,Extremely offensive,weaponized word
spigger,Identity Attack,Extremely offensive,weaponized word
slant eye,Identity Attack,Extremely offensive,weaponized word
slopey,Identity Attack,Extremely offensive,weaponized word
spik,Identity Attack,Extremely offensive,weaponized word
spig,Identity Attack,Extremely offensive,weaponized word
spicish,Identity Attack,Extremely offensive,weaponized word
pom,Identity Attack,Extremely offensive,weaponized word
pommie,Identity Attack,Extremely offensive,weaponized word
nigger-rig,Identity Attack,Extremely offensive,weaponized word
kyke,Identity Attack,Extremely offensive,weaponized word
three fifths,Identity Attack,Extremely offensive,weaponized word
tincker,Identity Attack,Extremely offensive,weaponized word
gay mafia,Identity Attack,Extremely offensive,weaponized word
faggot,Identity Attack,Extremely offensive,weaponized word
gooky,Identity Attack,Extremely offensive,weaponized word
gook eye,Identity Attack,Extremely offensive,weaponized word
halalability,Identity Misrepresentation,extremely offensive,weaponized word
homintern,Identity Misrepresentation,extremely offensive,weaponized word
tarded,Insult,extremely offensive,weaponized word
scuffer,Insult,extremely offensive,weaponized word
dole bludger,Insult,extremely offensive,weaponized word
niggerfag,Insult,extremely offensive,weaponized word
conchuda,Insult,extremely offensive,weaponized word
