html_url,response_content,compile_result,input_program_loc,refactoring_type,prompt
https://bugs.eclipse.org/bugs/show_bug.cgi?id=82673,"{
    ""classes"": [
        {
            ""className"": ""Test.java"",
            ""content"": ""public class Test {
    void test1() {
        class Dummy {};
        Dummy d = new Dummy();
    }
    
    void test2() {
        class Dummy {};
        Dummy d = new Dummy();
    }
}""
        }
    ]
}",1,10,rename class,"Rename the class ""Test"" to [keyword]:"
https://youtrack.jetbrains.com/issue/IDEA-108026/Renaming-an-entity-field-does-not-rename-the-setter-method-parameter,"{
    ""classes"": [
        {
            ""className"": ""Entity.java"",
            ""content"": ""public class Entity {\n    private int newName;\n\n    public int getNewName() {  return newName;}\n\n    public void setNewName(int oldName) {  this.newName = oldName;}\n}""
        }
    ]
}",1,5,rename field,"Rename the field ""newName"" to [keyword]:"
https://bugs.eclipse.org/bugs/show_bug.cgi?id=138320,"{
    ""classes"": [
        {
            ""className"": ""Try.java"",
            ""content"": ""public class Try {\n\tvoid abc() {}\n\tvoid ref() {\n\t\tabc();\n\t}\n}""
        }
    ]
}",1,6,rename method,"Rename the method ""abc"" to [keyword]:"
https://youtrack.jetbrains.com/issue/IDEA-81427/Rename-inserts-this-qualifier-before-static-field-reference,"{
    ""classes"": [
        {
            ""className"": ""X.java"",
            ""content"": ""class X {
    public static final String s = 's';

    public static void main(String... args) {
        String s1 = s;
    }
}""
        }
    ]
}",1,6,rename variable,"Rename the variable ""s1"" to [keyword]:"
https://bugs.eclipse.org/bugs/show_bug.cgi?id=546819,"{
    ""classes"": [
        {
            ""className"": ""RefactorWithVarArgsBug.java"",
            ""content"": ""public class RefactorWithVarArgsBug {\n\n\tpublic static void main(String[] args) {\n\t\tRefactorWithVarArgsBug o = new RefactorWithVarArgsBug(true);\n\t}\n\n\tpublic RefactorWithVarArgsBug(boolean a, String... strings) {\n\n\t}\n}""
        } ]
}",1,21,change method signature,"Add a new parameter to the ""RefactorWithVarArgsBug"" method and name it [keyword]:"
https://bugs.eclipse.org/bugs/show_bug.cgi?id=566944,"{
    ""classes"": [
        {
            ""className"": ""R.java"",
            ""content"": ""@SuppressWarnings(\""preview\"")\nrecord R(int i) {\n\tR {\n\t\tSystem.out.println(\""Compact Constructor\"");\n\t}\n}""
        }
    ]
}",1,6,Introduce Parameter Object,Introduce a new Parameter Object and name it [keyword]:
https://bugs.eclipse.org/bugs/show_bug.cgi?id=89526,"{
    ""classes"": [
        {
            ""className"": ""C.java"",
            ""content"": ""class C {
  int foo(int i, int... array) {
    return 42;
  }
}""
        }
    ]
}",1,5,introduce parameter,Introduce a new parameter to the foo method and name it [keyword]:
https://bugs.eclipse.org/bugs/show_bug.cgi?id=243101,"{
""classes"": [
{
""className"": ""Bug.java"",
""content"": ""enum Bug { X;\n\t{\n\t\tswitch(valueOf(\""X\"")){\n\t\t}\n\t}\n}""
}
]
}",1,6,extract variable,Extract a temporary variable from the switch expression and name it [keyword]:
https://bugs.eclipse.org/bugs/show_bug.cgi?id=352785,"{
""classes"": [
{
""className"": ""Example.java"",
""content"": ""public class Example {\n public void foo(int i) {\n switch (i) {\n case 1:\n if (true) {\n break;\n }\n }\n }\n}""
}
]
}",1,10,extract method,Extract a method that includes the switch and name it [keyword]:
https://youtrack.jetbrains.com/issue/IDEA-112590/Extract-class-as-enum-breaks-code-when-multiple-constants-are-in-one-declaration,"{
""classes"": [
{
""className"": ""X.java"",
""content"": ""class X {\n public static final int LEFT = 0, RIGHT = 1, CENTERED = 2, JUSTIFIED = 3;\n}""
}
]
}",1,3,extract class,Extract a class as an enum and name it [keyword]:
